DSC ID,ZoomInfo ID,SP_COMPANY_ID,Client Name,S&P Ticker,GP ID,URL,Titanium,GWS Enterprise Sector Mapping
1,12227700,100201,JPMorgan Chase & Company,NYSE:JPM,GP100580,http://www.jpmorganchase.com/,Titanium,Financial & Professional Services
2,41058369,4163620,Visa Inc,NYSE:V,GP101134,http://usa.visa.com/,Titanium,Financial & Professional Services
3,12161677,100369,Bank of America Corporation,NYSE:BAC,GP100148,http://www.bankofamerica.com/,Titanium,Financial & Professional Services
4,66421453,4073702,Master Card Incorporated,NYSE:MA,GP106426,http://www.mastercard.us/,Titanium,Financial & Professional Services
5,19104406,4226356,Industrial and Commercial Bank of China (ICBC),SEHK:1398,GP102832,http://www.icbc-ltd.com/,Titanium,Financial & Professional Services
6,78184974,4147551,China Merchants Bank,SHSE:600036,GP103528,http://www.cmbchina.com/,Titanium,Financial & Professional Services
7,130203765,100382,Wells Fargo & Company,NYSE:WFC,GP101154,http://www.wellsfargo.com/,Titanium,Financial & Professional Services
8,64144030,103042,Morgan Stanley,NYSE:MS,GP100713,http://www.morganstanley.com/,Titanium,Financial & Professional Services
9,480700646,4147550,China Construction Bank,SEHK:939,GP103872,http://www.ccb.com/,Titanium,Financial & Professional Services
10,1328437,4149089,Agricultural Bank of China Ltd,SEHK:1288,GP103423,http://www.abchina.com/en/,Titanium,Financial & Professional Services
11,154239344,102775,The Charles Schwab Corporation,NYSE:SCHW,GP100214,http://www.schwab.com/,Titanium,Financial & Professional Services
12,93290554,100522,Royal Bank of Canada,TSX:RY,GP100907,http://www.rbcroyalbank.com/,Titanium,Financial & Professional Services
13,49744985,4039450,Goldman Sachs Group Inc,NYSE:GS,GP100446,http://www.goldmansachs.com/,Titanium,Financial & Professional Services
14,1720519,102700,American Express Company,NYSE:AXP,GP100060,http://www.americanexpress.com/,Titanium,Financial & Professional Services
15,114934090,100519,The Toronto-Dominion Bank,TSX:TD,GP101027,https://www.td.com/,Titanium,Financial & Professional Services
16,8224889,4041896,Citigroup Inc,NYSE:C,GP100238,https://www.citigroup.com/,Titanium,Financial & Professional Services
